她	tln
煲	bqrh/
暴	bvou/
刨	bvbd/
褒	bqym/
胞	bqob/
葆	bxcm/
苞	bqcb/
鸨	bxbn/
炮	pvhb/
雹	biyb/
龅	bqvb/
趵	bvzu/
掰	bbuu/
捭	bufu/
伯	berb/
夯	hudl/
迸	bfzk/
榜	bpmf/
梆	bume/
搒	bdff/
鼻	bbzw/
避	btzx/
臂	btuo/
弊	btxc/
璧	btuy/
敝	btxw/
匕	bgpv/
毙	btbb/
俾	bgru/
鄙	bgke/
吡	bgkb/
弼	btgb/
痹	btbw/
妣	bgnb/
髀	btgu/
屄	bjub/
箅	btvw/
滗	btdm/
嬖	btun/
芘	bgcb/
沘	bgdb/
裨	btpu/
篦	btvb/
邲	btbe/
萆	btcu/
薜	btcx/
跸	btzu/
珌	btwb/
辟	btux/
佖	btrb/
荸	bbcz/
筚	btvu/
佛	ferf/
觱	btwy/
馝	bthb/
鲾	bjyt/
坒	btbt/
拌	bafb/
斑	bnww/
扮	baff/
扳	bnfy/
癍	bnbw/
柈	bamb/
攽	bnfw/
瘢	bnbu/
𨭉	bnwj/
秉	bwqr/
屏	pnuk/
槟	bhmb/
邴	bwbe/
栟	bemk/
遍	bazc/
辨	baxl/
卞	bawb/
煸	brhc/
弁	basc/
辫	baxs/
萹	brcc/
忭	baxb/
碥	bpuc/
𨚕	base/
杓	bmmu/
镳	bmjh/
骉	bmmm/
熛	bmhu/
幖	bmju/
俵	blry/
飑	bmfb/
脿	bloy/
拨	bpfy/
搏	befc/
勃	beul/
钵	bpjb/
亳	bewq/
柏	bumb/
孛	bkuz/
钹	bejy/
渤	bedl/
镈	bejc/
僰	beur/
擘	bguu/
浡	bedz/
舶	bevb/
嶓	bput/
膊	beoc/
哱	bpkz/
砵	bpub/
踣	bezk/
簸	bivp/
菠	bpcp/
鹁	beun/
檗	bgum/
蕃	bpct/
艴	befb/
趵	bvzu/
礴	beuc/
欂	bemc/
𬭛	bpjp/
鳖	bkxy/
蹩	bsxz/
癿	bsbv/
簿	bhvc/
卜	bmld/
哺	bmkf/
瓿	bhlw/
埔	pmtf/
埗	bhtu/
𬷕	bmfn/
贝	bkkr/
辈	bkfi/
邶	bkbe/
孛	bkuz/
碚	bkuk/
琲	bkwf/
惫	bkwx/
鹎	bipn/
棓	bkmk/
椑	bimu/
褙	bkpo/
糒	bkmy/
臂	btuo/
鐾	bkuj/
鞁	bkgp/
糙	cqmk/
嘈	ciko/
芔	hfcc/
蔡	cocu/
彩	cucp/
嶒	cfuo/
伧	curv/
磁	cbuy/
辞	cbux/
雌	cbvv/
慈	cbbx/
泚	cgdb/
疵	cjbb/
差	iiyg/
茈	cbcb/
兹	zjby/
佽	ctrq/
鹚	cbbn/
莿	ctcd/
𫚖	cgvy/
残	cpdj/
粲	cadm/
䅟	cohp/
挫	cpfr/
措	cpfo/
撮	csfy/
嵯	clug/
鹾	clbg/
撺	cdfi/
镩	cdji/
枞	ckmr/
璁	ckwx/
苁	ckcr/
徂	clrq/
卒	zlwu/
毳	cfmm/
悴	cfxu/
漼	cvdv/
榱	ctmv/
搭	dlfk/
嗒	dlkk/
跶	dlzd/
笪	duvd/
靼	dugd/
溚	dudk/
鿎	duud/
𫟼	dujd/
纛	dvfx/
蹈	dxzj/
捯	difd/
忉	dqxd/
舠	dqvd/
待	dorc/
贷	dorb/
袋	dory/
黛	dorh/
岱	doru/
迨	dozk/
呔	dbkt/
绐	dosk/
大	diar/
垈	dort/
凳	dfbj/
戥	dyog/
嶝	dfub/
菪	ddcu/
𣗋	dpmx/
笛	dbvy/
递	dtzd/
氐	dgud/
骶	dggu/
邸	dgue/
碲	dtuj/
籴	dbrm/
砥	dguu/
鞮	djgz/
涤	dbdm/
荻	dbch/
菂	dtcu/
娣	dtnd/
诋	dgyu/
柢	dgmu/
杕	dtmd/
坻	dgtu/
踶	dtzz/
媂	dtnj/
提	tbfz/
蹢	dbzg/
的	drbu/
玓	dtwu/
𤧛	dtwj/
𬱖	dbyy/
旦	daoa/
啖	dakh/
掸	dofu/
澹	dadk/
聃	dner/
殚	dndu/
憺	daxk/
膻	daod/
疍	dazd/
瘅	dnbu/
眈	dnoe/
赕	dobh/
郸	dnbe/
疸	dobd/
𫢸	daru/
腚	dwoz/
锭	dwjz/
啶	dwkz/
酊	deyd/
殿	dauu/
颠	druy/
掂	drfv/
癫	drby/
奠	dabd/
靛	dafz/
淀	dadz/
癜	dabu/
琔	dawz/
叼	dmkd/
雕	dmkv/
貂	dmvk/
碉	dmuk/
铫	yijv/
铞	dljj/
汈	dmdd/
朵	dljm/
铎	dljf/
踱	dlzy/
咄	dski/
埵	dltt/
哚	dlkm/
饳	dpui/
㙍	dsty/
谍	dsym/
垤	dstt/
蹀	dszm/
𫶇	dsuj/
耑	ddue/
簖	dcvj/
冻	dydd/
鸫	dkdn/
硐	dyuk/
岽	dkud/
胨	dyod/
睹	dmoo/
犊	dlnd/
椟	dlmd/
渎	dldd/
阇	damo/
厾	davq/
黩	dlld/
髑	dlgi/
𬭊	dhjt/
墩	dgtw/
遁	drzo/
趸	dowz/
镦	dgjw/
蹾	dgzw/
砘	drut/
窦	drbd/
讹	eeyb/
鳄	eiyk/
鄂	eike/
蛾	eeiw/
颚	eiky/
轭	eiiv/
屙	eruk/
锷	eijk/
鹗	eikn/
峨	eeuw/
萼	eick/
垩	eiyt/
噩	eiwk/
哦	oekw/
婀	ernk/
苊	eicv/
𫫇	eikx/
洱	eude/
鲕	ekye/
耏	ekep/
陑	ekee/
垡	furt/
粪	fomg/
焚	fsmh/
奋	fodt/
偾	forb/
棻	fecm/
棼	fsmf/
鲼	foyb/
瀵	fodg/
翂	fexf/
坋	fotf/
𣸣	fsdb/
丰	fcsl/
凤	ffjy/
蜂	fcif/
沣	fcdf/
酆	fcue/
砜	fcuf/
崶	fcuc/
赗	ffbo/
鲂	fwyf/
肪	fwof/
牥	funf/
范	facv/
番	fnct/
帆	fnjf/
樊	fpmd/
矾	fpuf/
幡	fnjt/
燔	fpht/
氾	fpdv/
蘩	fpcx/
蹯	fpzt/
墦	fptt/
𬸪	fpcn/
夫	faer/
福	flpt/
父	fhbx/
赋	fhbv/
弗	flgl/
伏	flrq/
敷	fafw/
傅	fhrc/
釜	fmfb/
斧	fmfj/
腹	fhow/
浮	fldz/
拂	flff/
腐	fmgr/
俘	flrz/
腑	fmoc/
辐	flit/
孚	flvz/
佛	ferf/
肤	faof/
阜	fhpu/
凫	flnj/
祓	flpy/
芣	flcb/
鄜	fale/
涪	fldk/
黻	flyy/
苻	flcc/
拊	fmfc/
郛	flve/
簠	fmvm/
绂	flsy/
宓	mtbb/
茯	flcq/
赙	fhbc/
莩	flcz/
趺	fazf/
茀	flcf/
蝮	fhiw/
稃	fahz/
匐	flbt/
罘	flsb/
驸	fhmc/
怫	flxf/
袱	flpq/
洑	fldq/
鲋	fhyc/
菔	flcy/
滏	fmdb/
芾	flcj/
幞	fljf/
咐	fhkc/
绋	flsf/
蚨	flif/
韨	flwy/
琈	flwz/
垺	fltz/
讣	fhyb/
蜉	fliz/
砆	fauf/
㕮	fmkf/
㳇	fhdf/
𫖯	fmvy/
肥	frob/
斐	fjfw/
吠	fkkq/
啡	fikf/
腓	frof/
淝	frdb/
蜚	fjfi/
朏	fjoi/
诽	fjyf/
翡	fjfx/
芾	flcj/
棐	fjfm/
剕	fkfd/
𬴂	fimf/
噶	gukr/
咖	klkk/
旮	gljo/
锆	gvjk/
郜	gvne/
槔	gqmu/
羔	gqyh/
槁	gxmk/
筶	gvvk/
钙	gojg/
𬮿	goej/
歌	grkq/
咯	kmkk/
阁	gemk/
镉	gejg/
革	gecu/
嗝	gekg/
胳	grok/
盖	goym/
疙	grbv/
饹	lruk/
仡	grrv/
合	herk/
虼	giiv/
塥	getg/
赓	gcgb/
鲠	gyyg/
鹒	gcgn/
罡	gusv/
矼	guug/
扛	kwfg/
冮	gudg/
㭎	gumx/
鿍	gdtf/
柑	gnmg/
苷	gncg/
橄	gomw/
酐	gnyg/
鳡	goyx/
泔	gndg/
坩	gntg/
旰	gaog/
澉	godw/
掴	ggfy/
洸	gwdg/
椁	glmz/
崞	gsuz/
呙	gskn/
帼	gljy/
蜾	glig/
埚	gstn/
𬇹	gldy/
冠	gdbc/
贯	gcmb/
毌	gcml/
掼	gcfb/
琯	gswl/
鳏	gdyx/
筦	gsvy/
涫	gcdl/
莞	wocy/
鳤	gsyl/
蒄	gdcc/
宫	gkbk/
功	gkgl/
汞	gngu/
贡	gygb/
恭	gkgx/
巩	gngf/
䢼	gkge/
硔	gnug/
蛊	gmim/
咕	gakg/
瞽	gmto/
菰	gacg/
辜	gagx/
毂	gmtu/
觚	gadg/
酤	gayg/
锢	ghjg/
崮	ghug/
堌	ghtg/
蛄	gaig/
汩	gmdo/
鹘	hlgn/
牯	gmng/
嘏	gmgy/
鹄	hlnn/
痼	ghbg/
羖	gmyu/
瀔	gmdu/
臌	gmov/
馉	gmuo/
牿	ghnk/
蓇	gaco/
𦙶	gmog/
桂	gfmt/
珪	gtwt/
邽	gtte/
鲑	gtyt/
刿	gfud/
桧	gfmy/
鳜	gfyq/
鬶	gtfg/
宄	gvbj/
皈	gtby/
炅	jeoh/
姽	gvnv/
筀	gfvt/
剐	ggkd/
鸹	gsun/
衮	goyg/
购	grbg/
彀	grtu/
枸	jsmj/
姤	grnk/
雊	grjv/
句	jfbk/
笱	gzvj/
嚎	hiku/
蚝	hiim/
蒿	hqck/
毫	hiwm/
皞	hvbu/
濠	hidu/
灏	hvdy/
鄗	hvwe/
淏	hvdt/
颢	hvoy/
嚆	hqkk/
嗐	hokk/
咳	kekr/
合	herk/
呵	hrkk/
阖	hemm/
褐	hipr/
颌	hery/
郃	here/
涸	hedg/
鹖	heon/
貉	hevk/
吓	xxkx/
壑	hibt/
龢	herh/
熇	hihk/
菏	heck/
阂	hemr/
隺	hibv/
鞨	hegr/
𬌗	heyk/
珩	hfwd/
鸻	hfrn/
行	xnrd/
沆	hddj/
汗	hadg/
函	hpku/
焓	hphk/
罕	hobg/
涵	hpdu/
翰	haux/
憾	haxx/
瀚	hadx/
晗	hpok/
捍	hafg/
邗	hpge/
暵	haot/
顸	hngy/
撖	hafw/
浛	hpdk/
虷	gnig/
㘎	hokw/
崡	hpuu/
嵅	hpuk/
蔊	hocg/
篁	hbvw/
幌	hujg/
恍	huxg/
潢	hbdb/
湟	hbdw/
肓	hwwo/
锽	hbjw/
惶	hbxw/
鳇	hbyw/
癀	hbbb/
蟥	hbib/
瑝	hbww/
㿠	hebg/
𨱑	hbjb/
豁	hsbg/
伙	hlrh/
藿	hpcv/
钬	hljh/
濩	hpdy/
夥	hlgx/
嚄	hsky/
漷	hlde/
劐	hscd/
佸	hlru/
锪	hsjx/
㸌	hphv/
欢	hdyq/
涣	hcdr/
洹	hodd/
圜	hoky/
郇	xfbe/
鲩	hcyy/
宦	hcbi/
逭	hczl/
缳	hosy/
鹮	hosn/
澴	hody/
镮	hojy/
漶	hcdx/
痪	hcbr/
㬊	hsoy/
荁	hocd/
𤩽	howq/
虹	hjig/
鸿	hjdn/
泓	hjds/
吽	hkkn/
訇	hkbk/
蕻	hjcg/
唝	hnkb/
谼	hjgg/
𬭎	hjjs/
湖	hldo/
和	hehk/
沪	hhdh/
弧	hlgg/
唬	hmkj/
斛	hldd/
核	hemr/
瑚	hlwo/
瓠	hhdg/
縠	hltu/
扈	hhhb/
烀	hahh/
煳	hlho/
惚	haxx/
鹘	hlgn/
唿	hakx/
鹱	hhny/
鳠	hhyy/
琥	hmwj/
淴	hadx/
浒	hmdw/
醐	hlyo/
槲	hlmd/
囫	hlkw/
戽	hhhd/
嫭	hhnh/
轷	haih/
猢	hlqo/
昒	haow/
喙	hfku/
慧	hffx/
恢	htxh/
卉	hfuc/
蕙	hfcx/
秽	hfhx/
麾	htgm/
晦	hfom/
诲	hfym/
荟	hfcy/
浍	hfdy/
洄	hwdk/
翚	htxi/
翙	hfux/
咴	htkh/
珲	hfwi/
蛔	hwik/
彗	hffe/
哕	hfkx/
诙	htyh/
溃	kfdb/
蟪	hfix/
桧	gfmy/
烠	hwho/
硊	hfuv/
㧑	htfw/
𬤝	hfyx/
𬭬	hfje/
华	htru/
骅	htmu/
觟	hgdt/
溷	hrdu/
馄	hfub/
诨	hryi/
碈	hguo/
喉	haku/
候	hrru/
垕	hrit/
逅	hrzk/
郈	hrie/
茬	iuct/
搽	iufm/
槎	iumg/
岔	iifu/
檫	iumu/
杈	ilmi/
锸	iljj/
诧	iiyq/
馇	ilud/
喳	vlkd/
𥻗	iumd/
嘲	iiko/
焯	iqhu/
豺	idvc/
撤	iifw/
砗	irui/
嗔	iekb/
谌	isyb/
瞋	ieob/
忱	isxe/
煁	ishb/
榇	iomm/
疢	iobh/
棽	iemv/
郴	ieme/
程	ifhw/
秤	ifhp/
丞	ifla/
枨	ifmi/
埕	iftw/
骋	iymk/
澂	ifdw/
琤	icwy/
偁	icrr/
蛏	icit/
赪	icib/
噌	ccko/
酲	ifyw/
柽	icmt/
瞠	icot/
珹	ifwi/
晟	ifoi/
铛	icje/
憕	ifxb/
尝	iwxy/
昌	iuoo/
敞	ipxw/
鬯	idkb/
怅	idxi/
倡	idro/
嫦	iwnj/
氅	ipxm/
伥	iuri/
鲳	iuyo/
菖	iuco/
徜	iwrk/
鲿	iwyy/
惝	ipxk/
敕	ituw/
翅	itvx/
豉	igdv/
叱	itkb/
笞	ijvk/
哧	ijki/
饬	itul/
褫	igpj/
魑	ijgn/
摛	ijfn/
鸱	ijun/
瘛	itbx/
漦	ibwu/
墀	ibtn/
茌	ibct/
眵	ijox/
篪	ibvj/
傺	itru/
踟	ibzk/
胣	igoy/
痓	itbt/
搀	infd/
澶	ipdd/
蟾	ipik/
襜	inpk/
谄	ioyj/
镡	tpju/
刬	iajd/
辿	inzu/
巉	iput/
羼	iauy/
廛	ipgt/
潺	ipdz/
梴	inmv/
孱	ipuz/
骣	iomz/
镵	ipjt/
瀍	ipdt/
冁	ioby/
搋	igfj/
疮	iwbv/
逴	iszu/
喘	iske/
翀	ikxv/
艟	ikvl/
珫	ikwy/
漴	ijdu/
㳘	ikdy/
褚	impo/
杵	immw/
雏	ildv/
橱	ilmc/
畜	xfxt/
刍	ilde/
俶	ihry/
楮	immo/
矗	ihuq/
滁	ildm/
樗	iamk/
憷	ihxz/
斶	ihji/
摴	iafk/
蜍	ilim/
濋	imdz/
蹰	ilzc/
䢺	iaie/
𬺓	imvz/
棰	iwmt/
春	igio/
唇	ifik/
瑃	igwo/
䲠	igyo/
筹	iavc/
稠	iahk/
雠	iary/
俦	iarc/
椆	iamk/
犨	ixrn/
踌	iazc/
侴	izrd/
金	jhrb/
今	jhrv/
尽	jvid/
锦	jxjj/
浸	jvdy/
谨	jxyw/
槿	jxmw/
襟	jhpu/
矜	jhmv/
瑨	jvwo/
噤	jvku/
溍	jvdo/
觐	jvcj/
祲	jvpy/
浕	jvdd/
荩	jvcd/
殣	jvdw/
珒	jhwy/
廑	jxgw/
琎	jvwj/
卺	jxlv/
既	jtgw/
鸡	jjyn/
极	jbmj/
系	xtpx/
继	jtsm/
计	jtyu/
给	gjsk/
技	jtfv/
击	jjfk/
纪	jtsj/
寂	jtby/
积	jjhv/
暨	jtgd/
脊	jgro/
疾	jbbu/
箕	jjvb/
激	jjdw/
济	jtdq/
叽	jjkj/
饥	jjuj/
冀	jtbg/
绩	jtsb/
棘	jbuu/
藉	jbco/
稷	jthw/
妓	jtnv/
汲	jbdj/
蓟	jtcd/
伋	jbrj/
赍	jjub/
髻	jtek/
殛	jbda/
鲫	jtye/
伎	jtrv/
稽	jjho/
偈	jtrr/
畸	jjtk/
圾	jjtj/
霁	jtyq/
嫉	jbnu/
讥	jjyj/
奇	qbdk/
笈	jbvj/
骥	jtmg/
嵴	jbuo/
唧	jjke/
齑	jjqj/
乩	jjvv/
戢	jbge/
畿	jjgt/
芰	jtcv/
嵇	jjhu/
洎	jtdz/
罽	jtsd/
笄	jjvk/
楫	jbme/
跻	jjzq/
麂	jglj/
垍	jttz/
姞	jbnk/
荠	jtcq/
蕺	jbce/
屐	jjuv/
跽	jtzx/
漈	jtdu/
悸	jtxz/
缉	jjse/
剞	jjdd/
佶	jbrk/
惎	jtcx/
耤	jblo/
虮	jgij/
芨	jjcj/
瘠	jbbo/
蹐	jbzo/
蒺	jbcu/
墼	jjit/
鹡	jbrn/
㴔	jbdx/
枅	jjmk/
𪟝	jtfl/
𫌀	jjpb/
𫓯	jjjt/
𫓹	jjjb/
𬯀	jjeq/
𬶨	jtgy/
颈	jwjy/
警	jwck/
茎	jecj/
荆	jecd/
竞	jwlx/
菁	jeco/
晶	jeoo/
靖	jwlo/
璟	jwwx/
胫	jwoj/
粳	jemg/
劲	jvjl/
旌	jefu/
泾	jedj/
丼	jwjd/
竫	jwly/
儆	jwrw/
憬	jwxx/
倞	jwrx/
靓	lefj/
鼱	jejo/
璥	jwww/
猄	jeqx/
䴖	jefn/
酱	jely/
姜	jyyn/
桨	julm/
浆	jylu/
疆	jygj/
缰	jysj/
鳉	jyyc/
豇	jydg/
洚	jedf/
强	qigi/
耩	julr/
弶	jegx/
茳	jycg/
煎	jrbh/
剪	jpbd/
简	jpvo/
舰	javj/
贱	jabj/
健	jary/
歼	jrdq/
荐	jacz/
溅	jadj/
拣	jpfd/
僭	jaro/
坚	jrlt/
鉴	jalj/
涧	jado/
践	jazj/
蹇	jpbz/
艰	jryg/
翦	jpbx/
菅	jrcl/
俭	jprq/
柬	jpur/
缣	jrsj/
锏	jpjo/
睑	jpoq/
鞬	jrgy/
謇	jpbk/
湔	jrdd/
踺	jazy/
犍	jrny/
槛	komm/
蒹	jrcj/
搛	jrfj/
鲣	jryt/
枧	jpmj/
鹣	jrjn/
楗	jamy/
暕	jpoj/
谫	jpyd/
趼	jpzk/
饯	jauj/
鞯	jrgz/
牮	jarn/
鳒	jryj/
胶	jmof/
浇	jmdw/
绞	jlsf/
轿	jlil/
蛟	jmif/
徼	jlrf/
骄	jmml/
礁	jmuh/
饺	jluf/
皎	jlbf/
郊	jmwe/
湫	qzdh/
姣	jmnf/
酵	jlyz/
校	xlmf/
滘	jldk/
鹪	jmrn/
醮	jlyh/
皦	jlbw/
艽	jmcj/
茭	jmcf/
峤	jlul/
璬	jlww/
侥	jlrw/
斠	jlfd/
皭	jlbc/
藠	jlcb/
噍	jlkh/
僬	jmrh/
恔	jlxf/
䴔	jmwn/
街	jkrt/
戒	jqgc/
介	jqrl/
捷	jsfz/
洁	jsdk/
芥	jqcj/
藉	jbco/
羯	jsyr/
颉	xsty/
桔	jsmk/
价	jxrj/
疖	jkbe/
孑	jsla/
诫	jqyc/
婕	jsnz/
疥	jqbj/
碣	jsur/
絜	jsfx/
劼	jstl/
拮	jsfk/
檞	jcmn/
骱	jqgj/
湝	jkdb/
楷	kumb/
蜐	jsil/
鲒	jsyk/
讦	jsyg/
喈	jkkb/
悈	jqxc/
岊	jsbu/
㛃	jsfn/
鸠	jzjn/
韭	jzfa/
舅	jojl/
咎	jowk/
臼	jopa/
鹫	jown/
疚	jobj/
氿	jzdj/
阄	jzmd/
桕	jomj/
隽	jcrn/
鹃	jdkn/
眷	jcjo/
锩	jsjv/
桊	jcjm/
扃	jphk/
颎	jeby/
掘	jifi/
角	jldy/
玦	jiwg/
噘	jukq/
攫	jify/
谲	jiyk/
抉	jifg/
傕	jirv/
桷	jimy/
觖	jidg/
獗	jiqq/
劂	jiid/
砄	jiug/
㵐	jidq/
𫔎	jijk/
𫘝	jimg/
局	jmuk/
居	jhug/
拒	jffj/
狙	jhqq/
钜	jfjj/
矩	jsuj/
遽	jfzu/
莒	jsck/
掬	jhfm/
驹	jhmj/
踞	jfzg/
桔	jsmk/
锔	jmjk/
苴	jhcq/
炬	jfhj/
咀	jskq/
椐	jhmg/
鞫	jhgk/
屦	jfun/
倨	jfrg/
雎	jhqv/
苣	jfcj/
疽	jhbq/
榉	jsmf/
飓	jffb/
窭	jfbn/
醵	jfyu/
龃	jsvq/
泃	jhdj/
砠	jhuq/
踽	jszy/
犋	jfnb/
澽	jfdu/
弆	jsqc/
䴗	jmon/
𬶋	jhyj/
价	jxrj/
佳	jdrt/
伽	jdrk/
驾	jxlm/
痂	jdbk/
镓	jdju/
颊	jcjy/
葭	jdcy/
郏	jcje/
瘕	jnby/
铗	jcjj/
戛	jcbg/
茄	qsck/
胛	jnoj/
槚	jnmb/
跏	jdzk/
袈	jdly/
泇	jddk/
𬂩	jdmj/
郡	jrye/
麇	jglh/
皲	jgbp/
莙	jgck/
龟	gtdd/
隽	jcrn/
葰	jrcw/
鲪	jgyk/
䐃	jroh/
咖	klkk/
咔	klkb/
㸆	kvhf/
锎	kbjk/
慨	kuxw/
闿	kumj/
锴	kujb/
忾	koxq/
剀	kuud/
嗑	kikm/
珂	krwk/
棵	krmg/
颏	krwy/
窠	krbg/
髁	krgg/
疴	krbk/
坷	kltk/
蝌	krid/
炣	klhk/
岢	kluk/
溘	kidm/
稞	krhg/
匼	krkk/
恳	kogx/
闶	kdmj/
堪	kntb/
龛	knrl/
阚	kamw/
戡	kncg/
莰	kocq/
衎	karg/
崁	kauq/
嵁	knub/
墈	katl/
磡	kaul/
郐	kfre/
侩	kfry/
匡	kwkw/
诳	kbyw/
眶	keow/
夼	kudi/
洭	kwdw/
硿	kyug/
骷	kagg/
夔	kwbw/
溃	kfdb/
馈	kfub/
愦	kfxb/
骙	kwmt/
跬	kvzt/
悝	ktxl/
戣	kwbg/
喟	kfko/
喹	kwkt/
蒉	kfcb/
岿	ktue/
暌	kwot/
𫠆	kvvy/
堃	kgft/
鹍	kgon/
醌	kgyb/
壸	koty/
抠	kxfq/
芤	kxcv/
喇	lmkd/
落	lpck/
旯	luoj/
蝲	liid/
砬	luul/
鳞	lcyf/
麟	lclf/
凛	lxdu/
璘	lcwf/
赁	lvrb/
吝	lvwk/
潾	lcdf/
粼	lcmv/
嶙	lcuf/
遴	lczf/
瞵	lcof/
翷	lcmx/
𬴊	lcmf/
酪	lvyk/
落	lpck/
痨	libl/
铹	lijl/
嫪	lvnp/
荖	lxcl/
涞	lddl/
崃	ldul/
俫	ldrl/
嘞	likl/
棱	lfmw/
堎	lftw/
朗	lplo/
榔	lwme/
桹	lwml/
塱	lplt/
蒗	ldcl/
稂	lwhl/
㮾	lplm/
蓢	lpco/
立	ltwb/
理	lgwl/
粒	ltml/
梨	lbhm/
黎	lbhu/
戾	lthq/
藜	lbcu/
厘	lbil/
犁	lbhn/
笠	ltvl/
璃	lbwn/
厉	ltiw/
隶	ltyu/
骊	lbmd/
荔	ltcl/
俪	ltrd/
醴	lgyb/
砺	ltuw/
澧	lgdb/
鬲	geal/
罹	lbsv/
疠	ltbw/
俚	lgrl/
喱	lbkl/
篱	lbvn/
漓	lbdn/
浬	lgdl/
蓠	lbcn/
蠡	lghi/
唳	ltkq/
溧	ltdm/
蜊	lbid/
鲡	lbyd/
醨	lbyn/
粝	ltmw/
鹂	lbln/
黧	lbhh/
缡	lbsn/
傈	ltrm/
疬	ltbl/
跞	ltzl/
浰	ltdd/
雳	ltyl/
猁	ltqd/
篥	ltvm/
㰀	lbmu/
𫵷	ltul/
拦	lpfl/
澜	lpdj/
榄	lomj/
婪	lpmn/
罱	losg/
襕	lppj/
漤	lodn/
𬒗	lpuj/
陵	lnew/
翎	lnrx/
聆	lnes/
泠	lnds/
伶	lnrs/
苓	lncs/
羚	lnys/
呤	lwks/
瓴	lnrw/
鲮	lnyw/
舲	lnvs/
棱	lfmw/
酃	lnye/
柃	lnms/
〇	lnvv/
鸰	lnrn/
凉	lidx/
良	lidg/
粱	lidm/
椋	limx/
俍	lirl/
辌	liix/
𬜯	lucl/
镰	lvjj/
濂	lvdj/
殓	ladq/
琏	lpwi/
蔹	lpcw/
潋	ladw/
梿	lvmi/
浰	ltdd/
裣	lppq/
瑓	lawj/
𬶠	layj/
撂	llfk/
疗	lubl/
髎	lugp/
寥	lubp/
橑	lumx/
镣	lljx/
蹽	lmzx/
漻	ludp/
鹩	ludn/
咯	kmkk/
啰	lskx/
骡	llmx/
萝	llcx/
雒	lpwv/
蠃	llwi/
泺	lpdl/
荦	lpcn/
漯	lpdx/
捋	lsfc/
蓏	llcg/
裂	lqdy/
洌	lqdd/
趔	lqtd/
峛	lqud/
